0,1,2
centro,-20.3196699,-40.338479
do moscoso,-20.3149307,-40.3433121
fonte grande,-20.3134557,-40.33757190000001
ilha do príncipe,-20.3226121,-40.3509648
parque moscoso,-20.3193159,-40.3419903
piedade,-20.3141932,-40.3404421
santa clara,-20.3186884,-40.3452254
vila rubim,-20.3197784,-40.3468197
ariovaldo favalessa,-20.3146828,-40.35638489999999
bela vista,-20.3037218,-40.348414
caratoíra,-20.3153468,-40.3528778
do cabral,-20.3155332,-40.3477763
do quadro,-20.3170592,-40.35000830000001
estrelinha,-20.293488,-40.3477763
grande vitória,-20.2886902,-40.340761
inhanguetá,-20.299528,-40.3458631
mário cypreste,-20.3195399,-40.3554284
santo antônio,-20.3096593,-40.35351550000001
santa tereza,-20.3110702,-40.348414
universitário,-20.2956027,-40.3401232
bento ferreira,-20.3142092,-40.3079257
consolação,-20.3062424,-40.3126913
cruzamento,-20.310337,-40.322262
de lourdes,-20.307199,-40.3158817
forte são joão,-20.320574,-40.3229
fradinhos,-20.3069131,-40.3280037
gurigica,-20.3059062,-40.3050336
horto,-20.3096158,-40.3104579
ilha de santa maria,-20.3170841,-40.3177959
jesus de nazareth,-20.3188643,-40.3024808
jucutuquara,-20.3085919,-40.31971
monte belo,-20.3152551,-40.3133294
nazareth,-20.3104801,-40.3162007
romão,-20.3125183,-40.3254519
andorinhas,-20.287964,-40.3056718
bonfim,-20.3005529,-40.3133294
da penha,-20.297582,-40.310777
itararé,-20.2953996,-40.3075863
joana d'arc,-20.2843585,-40.31651979999999
maruípe,-20.296341,-40.31971
santa cecília,-20.3041278,-40.320348
santa martha,-20.2873442,-40.3101388
santos dumont,-20.3019461,-40.3171578
são benedito,-20.3010893,-40.3069481
são cristóvão,-20.2912323,-40.31639879999999
tabuazeiro,-20.2944114,-40.322262
barro vermelho,-20.2949779,-40.2980132
enseada do suá,-20.3194015,-40.2960984
ilha do boi,-20.4176812,-34.5631088
ilha do frade,-20.3020067,-40.2814162
praia do canto,-20.2996261,-40.2922686
praia do suá,-20.3130059,-40.2992897
santa helena,-20.3095138,-40.2941835
santa lúcia,-20.3024142,-40.2999279
santa luíza,-20.2914708,-40.3018426
comdusa,-20.2872137,-40.3350205
conquista,-20.2781344,-40.323538
ilha das caieiras,-20.2774151,-40.3350205
nova palestina,-20.272615,-40.3280037
redenção,-20.2791758,-40.3286416
resistência,-20.2729812,-40.3177959
santo andré,-20.2793443,-40.332469
santos reis,-20.2838914,-40.3337448
são josé,-20.2841595,-40.3305554
são pedro,-20.2819621,-40.3362962
aeroporto,-20.2616507,-40.2833315
antônio honório,-20.2631207,-40.2980132
goiabeiras,-20.2724733,-40.30631
jabour,-20.2584011,-40.29290690000001
maria ortiz,-20.258305,-40.2999279
segurança do lar,-20.263254,-40.2964175
solon borges,-20.2613736,-40.2954601
jardim camburi,-20.2592187,-40.26545309999999
parque industrial,-20.3917033,-40.4592716
boa vista,-20.2713455,-40.2992897
jardim da penha,-20.2850907,-40.2960984
mata da praia,-20.2751185,-40.2922686
morada de camburi,-20.2720492,-40.2967367
pontal de camburi,-20.2900766,-40.2980132
república,-20.270654,-40.29290690000001
