neighborhood,price,bedrooms,parking,area,bathrooms
Praia da Costa,349600.0,2,1,58,2
Jardim Camburi,1199000.0,4,3,146,6
Praia do Canto,2151350.0,4,2,210,3
Vitória,370000.0,2,,45,1
Enseada do Suá,520550.0,2,1,71,2
Jardim da Penha,537700.0,3,1,105,2
Parque Moscoso,192260.0,3,,110,2
Vitória,2150083.3333333335,4,4,850,8
Jardim Camburi,650608.6666666666,3,3,110,3
Jardim Camburi,430317.5,3,1,85,2
Praia do Canto,450700.0,3,2,105,2
Praia do Canto,281408.0,1,1,30,1
Maruípe,950000.0,8,6,520,5
Jardim da Penha,540401.6666666666,3,1,100,3
Jardim Camburi,1050000.0,3,2,232,2
Jardim Camburi,620480.0,3,1,95,2
Jardim Camburi,1300600.0,3,2,200,4
Jardim Camburi,652450.0,3,2,120,3
Praia do Canto,2101883.3333333335,4,2,350,5
Praia do Canto,2302083.3333333335,4,3,360,6
Praia do Suá,640658.3333333334,3,2,100,3
Fradinhos,1200000.0,5,4,337,4
Barro Vermelho,790460.0,3,2,106,2
Mata da Praia,2351900.0,4,3,230,4
Praia do Canto,1901391.6666666667,4,2,240,4
Praia do Canto,750850.0,3,1,110,2
Jardim Camburi,700500.0,3,2,108,1
Praia do Canto,1350745.8333333333,3,2,100,3
Vitória,360453.8333333333,3,1,75,2
Jardim da Penha,440726.6666666667,3,1,85,2
Santa Helena,1581566.6666666667,4,3,220,6
Vitória,340300.0,2,1,63,2
Jardim da Penha,1200680.0,4,3,148,4
Bento Ferreira,1290000.0,4,,147,4
Nossa Senhora da Penha,162900.0,2,1,43,
Tucum,150900.0,2,1,46,
Vitória,2870023.0,3,4,397,4
Vitória,560400.0,2,,65,2
Barro Vermelho,375335.8333333333,2,1,75,2
Vitória,285000.0,2,1,110,2
Vitória,1581750.0,4,3,220,5
Santa Helena,430483.3333333333,3,1,120,3
Vitória,660000.0,3,,130,3
Vitória,1551335.0,4,3,178,4
Jardim Camburi,172245.08333333334,1,1,49,1
Jardim Camburi,170200.0,2,1,70,2
Vitória,1261125.0,3,2,142,4
Vitória,3200000.0,4,2,405,2
Vitória,2201200.0,4,3,200,4
Mata da Praia,3251200.0,4,3,210,6
Jardim da Penha,490000.0,2,,60,2
Bento Ferreira,1561250.0,4,3,299,4
Praia do Canto,3402000.0,4,4,240,4
Jardim Camburi,850600.0,4,4,136,4
Praia do Canto,621100.0,3,1,120,2
Mata da Praia,1251104.1666666667,4,2,150,4
Vitória,3501150.0,4,3,330,3
Jardim da Penha,220250.0,2,1,50,1
Jardim da Penha,480358.3333333333,3,2,115,3
Vitória,530600.0,3,2,115,3
Jardim Camburi,260252.5,2,1,56,1
Bento Ferreira,595465.8333333334,3,2,103,3
Praia do Canto,825650.0,3,2,105,3
Jardim Camburi,1200000.0,4,3,180,1
Jardim da Penha,499316.6666666667,3,2,128,2
Vitória,1250812.5,3,2,100,3
Jardim da Penha,560651.25,3,1,127,2
Mata da Praia,890700.0,3,2,99,3
Mata da Praia,950600.0,3,2,105,3
Maracanã,128000.0,2,1,46,1
Balneário de Carapebus,147900.0,2,,51,
Balneário de Carapebus,140900.0,2,1,46,
